sample	tp53_mutation_status
CPCT02020636T	0
CPCT02020637T	0
CPCT02020639T	0
CPCT02020641T	0
CPCT02020642TII	0
CPCT02020643T	0
CPCT02020646T	0
CPCT02020648T	0
CPCT02020650T	0
CPCT02020651T	0
CPCT02020653T	0
CPCT02020656T	0
CPCT02020656TII	0
CPCT02020657T	0
CPCT02020658T	0
CPCT02020659T	0
CPCT02020662T	0
CPCT02020664T	0
CPCT02020665T	0
CPCT02020666T	0
CPCT02020667T	0
CPCT02020670T	0
CPCT02020670TII	0
CPCT02020671T	0
CPCT02020672T	0
CPCT02020673T	0
CPCT02020678T	0
CPCT02020678TII	0
CPCT02020680T	0
CPCT02020682T	0
CPCT02020683T	0
CPCT02020684T	0
CPCT02020685T	0
CPCT02020686T	0
CPCT02020687T	0
CPCT02020688T	0
CPCT02020689T	0
CPCT02020690T	0
CPCT02020691T	0
CPCT02020692T	0
CPCT02020693T	0
CPCT02020694T	0
CPCT02020695T	0
CPCT02020696T	0
CPCT02020700T	0
CPCT02020703T	0
CPCT02020704T	0
CPCT02020704TII	0
CPCT02020706T	0
CPCT02020711T	0
CPCT02020712T	0
CPCT02020714T	0
CPCT02020715T	0
CPCT02020716T	0
CPCT02020717T	0
CPCT02020718T	0
CPCT02020719T	0
CPCT02020720T	0
CPCT02020721T	0
CPCT02020723T	0
CPCT02020730T	0
CPCT02020731T	0
CPCT02020734T	0
CPCT02020736T	0
CPCT02020739T	0
CPCT02020740T	0
CPCT02020741T	0
CPCT02020743T	0
CPCT02020744T	0
CPCT02020750T	0
CPCT02020752T	0
CPCT02020756T	0
CPCT02020757T	0
CPCT02020758T	0
CPCT02020759T	0
CPCT02020760T	0
CPCT02020762T	0
CPCT02020764T	0
CPCT02020765T	0
CPCT02020767T	0
CPCT02020770T	0
CPCT02020773T	0
CPCT02020775T	0
CPCT02020778T	0
CPCT02020780T	0
CPCT02020781T	0
CPCT02020784T	0
CPCT02020785T	0
CPCT02020787T	0
CPCT02020788T	0
CPCT02020789T	0
CPCT02020790T	0
CPCT02020791T	0
CPCT02020794T	0
CPCT02020795T	0
CPCT02020796T	0
CPCT02020797T	0
CPCT02020800T	0
CPCT02020801T	0
CPCT02020802T	0
CPCT02020804T	0
CPCT02020807T	0
CPCT02020808T	0
CPCT02020810T	0
CPCT02020812T	0
CPCT02020813T	0
CPCT02020815T	0
CPCT02020817T	0
CPCT02020819T	0
CPCT02020820T	0
CPCT02020821T	0
CPCT02020822T	0
CPCT02020824T	0
CPCT02020827T	0
CPCT02020828T	0
CPCT02020829T	0
CPCT02020830T	0
CPCT02020832T	0
CPCT02020837T	0
CPCT02020837TII	0
CPCT02020839T	0
CPCT02020840T	0
CPCT02020847T	0
CPCT02020848T	0
CPCT02020852T	0
CPCT02020853T	0
CPCT02020854T	0
CPCT02020857T	0
CPCT02020859T	0
CPCT02020861T	0
CPCT02020863T	0
